description,category,merchant_base
INSTALATOR URGENTA Baneasa #221,Housing,Instalator urgenta
PMT POS Factura gaze Sun Plaza #221,Utilities,Factura gaze
Achizitie CEZ Vanzare ROM RO,Utilities,CEZ Vanzare
Plata POS Xbox Live EU 12345,Entertainment,Xbox Live
PMT POS Property Manager fees Branch 12 #14,Housing,Property Manager fees
PMT Regina Maria Online,Health,Regina Maria
PMT POS youtube tv Drumul Taberei RO,Subscriptions,YouTube TV
PMT diana express Online (RO),Groceries,Diana Express
Achizitie Cabinet Veterinar Pet Doctor AFI Cotroceni RO,Other,Cabinet Veterinar Pet Doctor
PMT vila carpati Pipera #001,Travel,Vila Carpati
PURCHASE FRESCA Park Lake #221,Restaurants,Fresca
PURCHASE ENTERPRISE CAR RENTAL Oradea RO,Travel,Enterprise Car Rental
Plata cu cardul AeroItalia Ploiesti #001,Travel,AeroItalia
Cumparare rent may Branch 12 #14,Housing,RENT MAY
Plata POS codecademy ROM #14,Education,Codecademy
Plata POS Karaoke Sing City Bucharest 12345,Entertainment,Karaoke Sing City
Achizitie FESTIVAL AWAKE AFI Cotroceni #4321,Entertainment,Festival Awake
PMT POS CHIRIE LUNA IULIE Center,Housing,Chirie luna iulie
Plata POS GitHub Copilot Floreasca #001,Subscriptions,GitHub Copilot
PURCHASE XTB invest Floreasca RO,Investments,XTB invest
POS TAXI COBALCESCU Sibiu RO,Transport,Taxi Cobalcescu
PMT POS House Cotroceni #221,Other,House
Plata cu cardul Cabinet Dermatologie Constanta,Health,Cabinet Dermatologie
youtube tv Store 04,Subscriptions,YouTube TV
bolt romania Online (RO),Transport,Bolt Romania
Plata cu cardul RTEC Constanta Pipera #001,Transport,RTEC Constanta
Achizitie psn store Brasov RID:34521,Entertainment,PSN Store
Plata POS LUKOIL Pipera,Transport,Lukoil
PMT AUDIBLE ROM #14,Subscriptions,Audible
PURCHASE Caru' cu Bere Bucuresti #4321,Restaurants,Caru' cu Bere
Plata cu cardul PC GARAGE Iasi (RO),Other,PC Garage
PURCHASE sushi to go Baneasa 12345,Restaurants,Sushi to Go
Achizitie EUROSPAR RO,Groceries,Eurospar
Achizitie recoltare analize Branch 12 RID:34521,Health,Recoltare analize
Achizitie Curatatorie chimica Branch 12 #14,Other,Curatatorie chimica
Plata POS Plata chirie iunie Brasov RID:34521,Housing,Plata chirie iunie
Plata cu cardul mega bio Park Lake 12345,Groceries,Mega Bio
PURCHASE bringo Promenada #221,Restaurants,Bringo
POS MIC.RO Oradea #14,Groceries,Mic.ro
POS SQUARESPACE PLAN Promenada #221,Subscriptions,Squarespace Plan
Plata cu cardul RATB Online #4321,Transport,RATB
POS hard rock cafe ROM 12345,Restaurants,Hard Rock Cafe
PMT POS Crucea Rosie donatie AFI Cotroceni #14,Other,Crucea Rosie donatie
Plata cu cardul Brutaria Boromir ROM #4321,Groceries,Brutaria Boromir
ELECTRICIAN APARTAMENT RO RO,Housing,Electrician apartament
POS teatrul bulandra AFI Cotroceni #14,Entertainment,Teatrul Bulandra
POS Wendy's Ploiesti,Restaurants,Wendy's
Plata POS upwork payout Branch 12 #14,Salary,Upwork payout
POS Pub Drumul Taberei Floreasca #14,Restaurants,Pub Drumul Taberei
Achizitie C&A FASHION Iasi #14,Other,C&A fashion
PURCHASE Amazon DE Pipera #14,Other,Amazon DE
POS COMPENSATIE SPORT 7CARD Branch 12 #221,Salary,Compensatie sport 7card
Achizitie Libraria Mihai Eminescu Constanta RO,Education,Libraria Mihai Eminescu
PURCHASE SCHIMB EUR-RON BCR ROM RO,Transfer,Schimb EUR-RON BCR
Cumparare Wolt Scooter Mall #14,Transport,Wolt Scooter
PURCHASE Robinhood deposit Downtown RO,Investments,Robinhood deposit
PMT synevo EU RO,Health,Synevo
Achizitie BURGERKING RO #001,Restaurants,BURGERKING
Achizitie METRO CASH & CARRY Store 04 #001,Groceries,Metro Cash & Carry
POS qatar airways Floreasca #4321,Travel,Qatar Airways
Plata cu cardul Springtime Bucuresti #001,Restaurants,Springtime
Achizitie LIDL Center RO,Groceries,Lidl
Cumparare NINTENDO ESHOP Ploiesti #221,Entertainment,Nintendo eShop
REVOLUT TOP-UP Park Lake,Transfer,Revolut top-up
Achizitie wendys Galati 12345,Restaurants,Wendys
Plata POS HBO MAX RO Galati RO,Subscriptions,HBO Max RO
AVANS CHIRIE Online,Housing,Avans chirie
Cumparare Twitch subscription Bucuresti #221,Entertainment,Twitch subscription
POS CARREFOUR MARKET Center #4321,Groceries,Carrefour Market
Cumparare DISNEY+ RO Timisoara 12345,Subscriptions,Disney+ RO
TAXA SCOLARIZARE MASTER Sibiu #221,Education,Taxa scolarizare master
POS SUBWAY Pipera (RO),Restaurants,Subway
ETF VWCE Floreasca #14,Investments,ETF VWCE
POS stripe payout Online RID:34521,Salary,Stripe payout
POS EON.RO factura Ploiesti #001,Utilities,EON.RO factura
POS Gazprom ROM #001,Transport,Gazprom
PMT POLICLINICA TITU MAIORESCU Store 04,Health,Policlinica Titu Maiorescu
Cumparare mcd Iasi #221,Restaurants,McD
Plata cu cardul rebu bucuresti Park Lake #001,Utilities,REBU Bucuresti
Achizitie rebu bucuresti Pipera RID:34521,Utilities,REBU Bucuresti
Orange Fix Cotroceni #221,Utilities,Orange Fix
PMT POS bio romania Vitan RO,Groceries,Bio Romania
Plata POS Virament BRD catre BCR Mall #14,Transfer,Virament BRD catre BCR
PMT Shake Shack Constanta #14,Restaurants,Shake Shack
Achizitie RENT MAY Center #221,Housing,RENT MAY
universitatea cluj Galati (RO),Education,Universitatea Cluj
Cumparare telekom mobile Store 04 RID:34521,Utilities,Telekom Mobile
PLAYSTATION NETWORK Baneasa #221,Entertainment,PlayStation Network
AUTO SERVICE PITESTI Sun Plaza AUT:887412,Transport,Auto Service Pitesti
PURCHASE profi loco ROM RID:34521,Groceries,Profi Loco
Plata cu cardul EUROWINGS ROM RID:34521,Travel,Eurowings
Vercel Pro Sun Plaza AUT:887412,Subscriptions,Vercel Pro
PMT Hanu lui Manuc Store 04 RO,Restaurants,Hanu lui Manuc
Plata POS bolt Cotroceni RID:34521,Transport,Bolt
Achizitie Amazon order Park Lake #14,Other,Amazon order
Plata POS Recoltare analize Branch 12 12345,Health,Recoltare analize
POS bolt food Ploiesti #14,Restaurants,Bolt Food
Cumparare VRBO Ploiesti #001,Travel,Vrbo
Plata POS bilete fotbal dinamo Mall RID:34521,Entertainment,Bilete fotbal Dinamo
Five Guys Pipera #001,Restaurants,Five Guys
Plata POS BRICOLAJ DEDEMAN Branch 12 RID:34521,Other,Bricolaj Dedeman
Plata cu cardul Udemy Bucharest,Education,Udemy
Cumparare microsoft 365 family Bucuresti AUT:887412,Subscriptions,Microsoft 365 Family
PMT ETF VWCE Oradea RO,Investments,ETF VWCE
Plata cu cardul JOC PC STEAM Cluj #001,Entertainment,Joc PC Steam
PURCHASE Revolut Invest Cotroceni AUT:887412,Investments,Revolut Invest
POS BUMBLE PREMIUM Timisoara RO,Subscriptions,Bumble Premium
POS ADMINISTRATOR BLOC 12 Ploiesti RID:34521,Housing,Administrator bloc 12
PMT POS RESTAURANT HANU' BERARILOR EU RID:34521,Restaurants,Restaurant Hanu' Berarilor
POS VIETNAMEZA PIPERA Promenada RO,Restaurants,Vietnameza Pipera
PMT 5toGo Store 04 #14,Restaurants,5toGo
Plata POS Payroll May 2026 Promenada #001,Salary,Payroll May 2026
Annabella Bucuresti RO,Groceries,Annabella
PMT POS Tommy Hilfiger Downtown 12345,Other,Tommy Hilfiger
Achizitie telekom mobile Ploiesti #14,Utilities,Telekom Mobile
PURCHASE Facultatea de Informatica Pipera #001,Education,Facultatea de Informatica
POS Eventim Bilet Bucharest 12345,Entertainment,Eventim Bilet
Achizitie Profi Floreasca RO,Groceries,Profi
PMT POS Hardee's EU #14,Restaurants,Hardee's
POS MEDICAL CENTER BUCURESTI AFI Cotroceni #4321,Health,Medical Center Bucuresti
Achizitie e.on Mall #4321,Utilities,E.ON
McDonalds Timisoara RO,Restaurants,McDonalds
Plata POS PlayStation Network Cluj AUT:887412,Entertainment,PlayStation Network
Achizitie Decont salarial Ploiesti #001,Salary,Decont salarial
POS ROBLOX SUBSCRIPTION Branch 12 #001,Entertainment,Roblox subscription
PMT POS Workshop UX Center AUT:887412,Education,Workshop UX
Plata cu cardul Five Guys Sun Plaza RID:34521,Restaurants,Five Guys
DOMO ROMANIA Promenada,Other,Domo Romania
Achizitie Patiseria Simigerie Cluj #14,Groceries,Patiseria Simigerie
PURCHASE Cabinet Familie Dr. Popescu Aviatorilor RO,Health,Cabinet Familie Dr. Popescu
PURCHASE PLAFAR MAGAZIN Aviatorilor #001,Groceries,Plafar magazin
Cumparare Asociatie locatari sect 1 Mall 12345,Housing,Asociatie locatari sect 1
PMT POS SUBWAY SANDWICH Galati,Restaurants,SUBWAY SANDWICH
Plata cu cardul DataCamp Premium Ploiesti RID:34521,Education,DataCamp Premium
TAXA SCOLARIZARE MASTER Park Lake RO,Education,Taxa scolarizare master
PMT etf vuaa Mall,Investments,ETF VUAA
Plata POS NOTION PERSONAL Pipera #221,Subscriptions,Notion Personal
Achizitie REVOLUT INVEST Downtown AUT:887412,Investments,Revolut Invest
Cumparare festival electric castle Bucharest 12345,Entertainment,Festival Electric Castle
PURCHASE wizz air voucher RO #221,Transport,Wizz Air voucher
PURCHASE SALARIU NET APRILIE Oradea (RO),Salary,Salariu Net Aprilie
PURCHASE DATACAMP Drumul Taberei #4321,Education,DataCamp
PMT Mentenanta lift Downtown #001,Housing,Mentenanta lift
Achizitie Service Auto Andrei EU RID:34521,Transport,Service Auto Andrei
Plata POS MADO PASTRY & COFFEE Aviatorilor RO,Restaurants,Mado Pastry & Coffee
PMT POS Netflix Downtown (RO),Subscriptions,Netflix
apple.com/bill Center,Subscriptions,Apple.com/bill
PMT POS Crucea Rosie donatie Branch 12 (RO),Other,Crucea Rosie donatie
Achizitie VODAFONE CABLE Center AUT:887412,Utilities,Vodafone Cable
PMT POS world class romania Ploiesti #001,Health,World Class Romania
Vel Pitar Cotroceni #221,Groceries,Vel Pitar
Plata cu cardul HARD ROCK CAFE Park Lake #14,Restaurants,Hard Rock Cafe
PMT DIGI*FACT Constanta (RO),Utilities,DIGI*FACT
PMT POS libraria humanitas Aviatorilor #4321,Education,Libraria Humanitas
PMT MEDICAL CENTER BUCURESTI Galati 12345,Health,Medical Center Bucuresti
PURCHASE Yoga clasa Branch 12 RID:34521,Health,Yoga clasa
Plata cu cardul Cinema City AFI Floreasca 12345,Entertainment,Cinema City AFI
Plata cu cardul Transfer intern Bucharest #221,Transfer,Transfer intern
vodafone cable ROM RID:34521,Utilities,Vodafone Cable
Plata POS TIER SCOOTER Floreasca (RO),Transport,Tier Scooter
Cumparare El Torito Mexican Store 04 RID:34521,Restaurants,El Torito Mexican
PMT cazare camin studenti Online 12345,Education,Cazare camin studenti
Plata POS Salariu ore suplimentare Branch 12 (RO),Salary,Salariu ore suplimentare
Cumparare teatrul mic Pipera RID:34521,Entertainment,Teatrul Mic
Plata cu cardul RCS-RDS Bucuresti RO,Utilities,RCS-RDS
PSIHOLOG CABINET Store 04 AUT:887412,Health,Psiholog Cabinet
Achizitie EVENTIM Ploiesti (RO),Entertainment,Eventim
Cumparare ALTEX.RO Branch 12 #221,Other,Altex.ro
PMT POS Rosetta Stone Timisoara #001,Education,Rosetta Stone
PURCHASE CONCERT SALA POLIVALENTA Constanta 12345,Entertainment,Concert Sala Polivalenta
Intersport Ploiesti,Other,Intersport
POS h&m magazin Ploiesti #001,Other,H&M magazin
PMT POS shell romania Online #14,Transport,Shell Romania
PMT Air France Baneasa #4321,Travel,Air France
PENSIUNE BRAN Cluj #14,Travel,Pensiune Bran
Achizitie APPLE.COM/BILL Pipera (RO),Subscriptions,Apple.com/bill
Achizitie VIRAMENT BRD CATRE BCR ROM #221,Transfer,Virament BRD catre BCR
POS Scoala Generala 4 RO AUT:887412,Education,Scoala Generala 4
PMT stock purchase aapl Oradea #14,Investments,Stock purchase AAPL
Plata cu cardul FARMACIA TEI Sun Plaza RO,Health,Farmacia Tei
Plata cu cardul Trattoria Buongiorno Downtown RID:34521,Restaurants,Trattoria Buongiorno
Cumparare macromex Store 04 #001,Groceries,Macromex
POS ENGIE ROMANIA Brasov AUT:887412,Utilities,Engie Romania
PMT POS fizioterapie sedinta Galati #4321,Health,Fizioterapie sedinta
POS TRADING 212 DEPOSIT Cotroceni 12345,Investments,Trading 212 deposit
PURCHASE ELECTRICA DISTRIBUTIE Cotroceni RID:34521,Utilities,Electrica Distributie
Cumparare teatrul national ROM AUT:887412,Entertainment,Teatrul National
Khan Academy Park Lake #14,Education,Khan Academy
PMT POS COFETARIA DELICE AFI Cotroceni AUT:887412,Other,Cofetaria Delice
Achizitie Spotify Drumul Taberei #001,Subscriptions,Spotify
Cumparare hbo max Bucharest #001,Subscriptions,HBO Max
Plata cu cardul PARCARE PIATA VICTORIEI RO #14,Transport,Parcare Piata Victoriei
Achizitie opera bucuresti Galati #4321,Entertainment,Opera Bucuresti
POS pull&bear Bucuresti RID:34521,Other,Pull&Bear
PURCHASE MetaMask transaction Pipera RID:34521,Investments,MetaMask transaction
PURCHASE CONCERT SALA POLIVALENTA Downtown #4321,Entertainment,Concert Sala Polivalenta
Plata cu cardul Transfer in EUR Oradea 12345,Transfer,Transfer in EUR
PMT Fond mutual NN Constanta #221,Investments,Fond mutual NN
POS AEROFLOT Baneasa #4321,Travel,AeroFlot
PURCHASE hidroelectrica vanzare Vitan (RO),Utilities,Hidroelectrica vanzare
Plata POS revolut invest Cotroceni 12345,Investments,Revolut Invest
PMT OMV PetrolStation Galati #001,Transport,OMV PetrolStation
Bolt Scooter AFI Cotroceni #221,Transport,Bolt Scooter
El Torito Mexican Vitan AUT:887412,Restaurants,El Torito Mexican
Plata POS ETORO BUY Center 12345,Investments,eToro buy
Cumparare STB Abonament Online Store 04 #221,Transport,STB Abonament Online
PMT POS diana express Drumul Taberei #14,Groceries,Diana Express
Asociatie Proprietari Bloc 12 Bucharest RO,Housing,Asociatie Proprietari Bloc 12
PMT ASOCIATIE LOCATARI SECT 1 ROM (RO),Housing,Asociatie locatari sect 1
Cumparare asigurare locuinta Baneasa (RO),Housing,Asigurare locuinta
Plata cu cardul METROREX ABONAMENT Store 04 12345,Transport,Metrorex Abonament
POS service auto premium Promenada RID:34521,Transport,Service Auto Premium
Achizitie Sala fitness 7card AFI Cotroceni #4321,Health,Sala fitness 7card
Plata POS etf sxr8 Floreasca #221,Investments,ETF SXR8
Plata cu cardul WAGE TRANSFER Constanta AUT:887412,Salary,Wage Transfer
Plata cu cardul iabilet Online #001,Entertainment,iaBilet
Achizitie SYNEVO LABORATOR Drumul Taberei AUT:887412,Health,Synevo Laborator
Plata POS LINEAR APP Brasov RID:34521,Subscriptions,Linear App
POS optica quattro Galati RO,Health,Optica Quattro
PMT ETF VOO Park Lake #001,Investments,ETF VOO
PMT Medical Center Bucuresti Mall (RO),Health,Medical Center Bucuresti
PMT WHOLE FOODS MARKET Branch 12 RID:34521,Groceries,Whole Foods Market
Plata POS inmedio Park Lake #14,Groceries,Inmedio
PURCHASE EXCURSIE ITALIA Baneasa,Travel,Excursie Italia
Plata POS CURS CORPORATE TRAINING Floreasca,Education,Curs Corporate Training
PURCHASE Robinhood deposit Park Lake,Investments,Robinhood deposit
PMT POS PSN Store Store 04,Entertainment,PSN Store
Plata POS Coursera EU RID:34521,Education,Coursera
PMT expedia Cotroceni #001,Travel,Expedia
Plata cu cardul restaurant hanu' berarilor Cluj #001,Restaurants,Restaurant Hanu' Berarilor
PMT POS Pensiune Sinaia Downtown RID:34521,Travel,Pensiune Sinaia
Cumparare Pluralsight Skills Center (RO),Education,Pluralsight Skills
CURS CORPORATE TRAINING Pipera AUT:887412,Education,Curs Corporate Training
Cumparare ENGIE GAZNATURALE Sun Plaza #001,Utilities,Engie GazNaturale
Cumparare MEDICOVER ROMANIA EU RID:34521,Health,Medicover Romania
Plata POS Vodafone Cable Cluj,Utilities,Vodafone Cable
Plata POS HBO Max ROM RO,Subscriptions,HBO Max
Achizitie BROKER BT CAPITAL Branch 12 #4321,Investments,Broker BT Capital
Cumparare CEC Bank transfer EU RID:34521,Transfer,CEC Bank transfer
PURCHASE Sanador Diagnostic Downtown #001,Health,Sanador Diagnostic
PURCHASE Instalator urgenta Park Lake (RO),Housing,Instalator urgenta
Treehouse Cotroceni RID:34521,Education,Treehouse
Achizitie Property Manager fees Aviatorilor,Housing,Property Manager fees
Achizitie Plata chirie iunie Store 04 RID:34521,Housing,Plata chirie iunie
Cumparare INTERACTIVE BROKERS Center 12345,Investments,Interactive Brokers
PMT POS KARAOKE SING CITY EU #221,Entertainment,Karaoke Sing City
Plata POS Direct Deposit ACME Sibiu 12345,Salary,Direct Deposit ACME
PMT Squarespace Plan Cluj #001,Subscriptions,Squarespace Plan
PMT SUBSTACK SUBSCRIPTION Floreasca 12345,Subscriptions,Substack subscription
PMT POS tichet feribot Floreasca RO,Travel,Tichet feribot
Cumparare Sportisimo ROM #14,Other,Sportisimo
FRESHMARKET Brasov RO,Groceries,FreshMarket
PURCHASE Gazprom RO 12345,Transport,Gazprom
Achizitie TAROM Ploiesti AUT:887412,Travel,TAROM
PMT POS Spar Floreasca (RO),Groceries,Spar
Cumparare springtime Pipera #14,Restaurants,Springtime
Cumparare wise fx Drumul Taberei #221,Transfer,Wise FX
Achizitie GITHUB PRO Store 04 RID:34521,Subscriptions,GitHub Pro
Cumparare Pharmacy ROK Oradea #001,Health,Pharmacy ROK
PMT POS STOCK PURCHASE AAPL Bucharest #14,Investments,Stock purchase AAPL
Plata cu cardul disney plus Iasi RO,Subscriptions,Disney Plus
Achizitie BIO ROMANIA Floreasca #4321,Groceries,Bio Romania
PMT colegiul national lazar Cluj #14,Education,Colegiul National Lazar
Wolt AFI Cotroceni (RO),Restaurants,Wolt
PMT EPIC GAMES STORE Floreasca 12345,Entertainment,Epic Games Store
PMT POS BILETE FOTBAL STEAUA Center #4321,Entertainment,Bilete fotbal Steaua
POS GOOGLE ONE Sun Plaza 12345,Subscriptions,Google One
Plata cu cardul CINEMA CITY Mall Vitan,Entertainment,Cinema City
PMT POS Sushi Master Downtown RID:34521,Restaurants,Sushi Master
Cumparare Pet Shop Animax Branch 12 #001,Other,Pet Shop Animax
Achizitie BILLA RO 12345,Groceries,Billa
PURCHASE Pensiune Bran Bucharest 12345,Travel,Pensiune Bran
PMT Bootcamp Coding Online #001,Education,Bootcamp Coding
Plata POS Metrorex Abonament Downtown #221,Transport,Metrorex Abonament
PURCHASE Casa Inteligenta administrare ROM #001,Housing,Casa Inteligenta administrare
Plata POS Saxo Bank trade Drumul Taberei 12345,Investments,Saxo Bank trade
POS PULL&BEAR Timisoara #001,Other,Pull&Bear
POS Carturesti Online RO 12345,Education,Carturesti Online
Plata cu cardul încasare salariu maria Branch 12 12345,Transfer,Încasare salariu Maria
Sala Palatului concert Store 04,Entertainment,Sala Palatului concert
Achizitie Manual Editura Niculescu Mall,Education,Manual Editura Niculescu
FESTIVAL NEVERSEA Iasi #221,Entertainment,Festival Neversea
Achizitie Transfer in lei Ploiesti RID:34521,Transfer,Transfer in lei
PURCHASE Bursa de studii Galati 12345,Education,Bursa de studii
Achizitie H&M MAGAZIN Downtown #221,Other,H&M magazin
Plata cu cardul festival neversea Cluj (RO),Entertainment,Festival Neversea
Cumparare Stripe payout Park Lake AUT:887412,Salary,Stripe payout
Cumparare deutsche bahn AFI Cotroceni,Transport,Deutsche Bahn
PMT POS SELGROS Store 04 AUT:887412,Groceries,Selgros
Plata POS coffee project Constanta #221,Restaurants,Coffee Project
Achizitie instalator urgenta Bucharest,Housing,Instalator urgenta
PMT salariu luna iunie Baneasa #001,Salary,Salariu luna iunie
Achizitie FIZIOTERAPIE SEDINTA Online AUT:887412,Health,Fizioterapie sedinta
Plata POS Croitorie de Lux Iasi,Other,Croitorie de Lux
Medical Center Bucuresti Brasov RO,Health,Medical Center Bucuresti
POS OpenSea purchase NFT RO (RO),Investments,OpenSea purchase NFT
Achizitie DEPOSIT RENT Store 04 #221,Housing,Deposit rent
PMT POS cosmetic & food shop ROM RO,Groceries,Cosmetic & Food Shop
POS TAROM FLIGHT Iasi #4321,Transport,Tarom flight
Cumparare Avans chirie Bucharest #001,Housing,Avans chirie
Plata POS Bolt Romania Timisoara #14,Transport,Bolt Romania
PMT POS Engie GazNaturale Galati RID:34521,Utilities,Engie GazNaturale
PMT Macromex Brasov RO,Groceries,Macromex
Achizitie Hostel Friends Pipera RO,Travel,Hostel Friends
Achizitie ASE Taxa Master Sun Plaza #14,Education,ASE Taxa Master
Cumparare Energiea Bar Pipera #14,Restaurants,Energiea Bar
PMT POS lidl plus Online #001,Groceries,Lidl Plus
POS CABINET DERMATOLOGIE Center #221,Health,Cabinet Dermatologie
Cumparare radet bucuresti Cluj 12345,Utilities,Radet Bucuresti
PURCHASE Service Auto Andrei RO RID:34521,Transport,Service Auto Andrei
PURCHASE DM DROGERIE MARKT RO (RO),Groceries,DM Drogerie Markt
Plata cu cardul EVENTIM BILET Vitan #14,Entertainment,Eventim Bilet
PURCHASE ENGIE FACT Branch 12 #14,Utilities,ENGIE FACT
PMT Bootcamp Data Science Bucharest AUT:887412,Education,Bootcamp Data Science
Plata POS PSN Store Sibiu AUT:887412,Entertainment,PSN Store
PURCHASE Kaufland Online Floreasca AUT:887412,Groceries,Kaufland Online
Plata cu cardul CHICK-FIL-A Sun Plaza #14,Restaurants,Chick-fil-A
